date,Day,Visitor,League,Home,Time,Stadium,Longitude,Latitude,Elevation
3/28/2012,Wed,SEA,AL,OAK,19:00,Oakland Coliseum,-122.201047,37.751327,0.0
3/29/2012,Thu,SEA,AL,OAK,19:00,Oakland Coliseum,-122.201047,37.751327,0.0
4/4/2012,Wed,SLN,NL,MIA,19:00,Marlins Park,-80.219845,25.778324,2.0
4/5/2012,Thu,WAS,NL,CHN,19:00,Wrigley Field,-87.65581,41.947929,182.0
4/5/2012,Thu,MIA,NL,CIN,19:00,Great American Ball Park,-84.507036,39.097474,149.0
4/5/2012,Thu,TOR,AL,CLE,19:00,Progressive Field,-81.685285,41.495545,199.0
4/5/2012,Thu,BOS,AL,DET,19:00,Comerica Park,-83.04897,42.339451,176.0
4/5/2012,Thu,ATL,NL,NYN,19:00,Yankee Stadium,-73.926949,40.829489,4.0
4/5/2012,Thu,PHI,NL,PIT,19:00,PNC Park,-80.00618,40.447063,221.0
4/5/2012,Thu,LAN,NL,SDN,19:00,Petco Park,-117.157074,32.707063,5.0
4/6/2012,Fri,KCA,AL,ANA,19:00,Angel Stadium,-117.883171,33.799922,44.0
4/6/2012,Fri,SFN,NL,ARI,19:00,Chase Field,-112.066707,33.445001,324.0
4/6/2012,Fri,MIN,AL,BAL,19:00,Oriole Park at Camden Yards,-76.621913,39.283514,11.0
4/6/2012,Fri,COL,NL,HOU,19:00,Minute Maid Park,-95.355411,29.757056,6.0
4/6/2012,Fri,SLN,NL,MIL,19:00,Miller Park,-87.971642,43.028436,188.0
4/6/2012,Fri,SEA,AL,OAK,19:00,Oakland Coliseum,-122.201047,37.751327,0.0
4/6/2012,Fri,LAN,NL,SDN,19:00,Petco Park,-117.157074,32.707063,5.0
4/6/2012,Fri,NYA,AL,TBA,19:00,Tropicana Field,-82.653453,27.76811,14.0
4/6/2012,Fri,CHA,AL,TEX,19:00,Globe Life Park in Arlington,-97.082997,32.751593,165.0
4/7/2012,Sat,KCA,AL,ANA,19:00,Angel Stadium,-117.883171,33.799922,44.0
4/7/2012,Sat,SFN,NL,ARI,19:00,Chase Field,-112.066707,33.445001,324.0
4/7/2012,Sat,MIN,AL,BAL,19:00,Oriole Park at Camden Yards,-76.621913,39.283514,11.0
4/7/2012,Sat,WAS,NL,CHN,19:00,Wrigley Field,-87.65581,41.947929,182.0
4/7/2012,Sat,MIA,NL,CIN,19:00,Great American Ball Park,-84.507036,39.097474,149.0
4/7/2012,Sat,TOR,AL,CLE,19:00,Progressive Field,-81.685285,41.495545,199.0
4/7/2012,Sat,BOS,AL,DET,19:00,Comerica Park,-83.04897,42.339451,176.0
4/7/2012,Sat,COL,NL,HOU,19:00,Minute Maid Park,-95.355411,29.757056,6.0
4/7/2012,Sat,SLN,NL,MIL,19:00,Miller Park,-87.971642,43.028436,188.0
4/7/2012,Sat,ATL,NL,NYN,19:00,Yankee Stadium,-73.926949,40.829489,4.0
4/7/2012,Sat,SEA,AL,OAK,19:00,Oakland Coliseum,-122.201047,37.751327,0.0
4/7/2012,Sat,PHI,NL,PIT,19:00,PNC Park,-80.00618,40.447063,221.0
4/7/2012,Sat,LAN,NL,SDN,19:00,Petco Park,-117.157074,32.707063,5.0
4/7/2012,Sat,NYA,AL,TBA,19:00,Tropicana Field,-82.653453,27.76811,14.0
4/7/2012,Sat,CHA,AL,TEX,19:00,Globe Life Park in Arlington,-97.082997,32.751593,165.0
4/8/2012,Sun,KCA,AL,ANA,19:00,Angel Stadium,-117.883171,33.799922,44.0
4/8/2012,Sun,SFN,NL,ARI,19:00,Chase Field,-112.066707,33.445001,324.0
4/8/2012,Sun,MIN,AL,BAL,19:00,Oriole Park at Camden Yards,-76.621913,39.283514,11.0
4/8/2012,Sun,WAS,NL,CHN,19:00,Wrigley Field,-87.65581,41.947929,182.0
4/8/2012,Sun,MIA,NL,CIN,19:00,Great American Ball Park,-84.507036,39.097474,149.0
4/8/2012,Sun,TOR,AL,CLE,19:00,Progressive Field,-81.685285,41.495545,199.0
4/8/2012,Sun,BOS,AL,DET,19:00,Comerica Park,-83.04897,42.339451,176.0
4/8/2012,Sun,COL,NL,HOU,19:00,Minute Maid Park,-95.355411,29.757056,6.0
4/8/2012,Sun,SLN,NL,MIL,19:00,Miller Park,-87.971642,43.028436,188.0
4/8/2012,Sun,ATL,NL,NYN,19:00,Yankee Stadium,-73.926949,40.829489,4.0
4/8/2012,Sun,PHI,NL,PIT,19:00,PNC Park,-80.00618,40.447063,221.0
4/8/2012,Sun,LAN,NL,SDN,19:00,Petco Park,-117.157074,32.707063,5.0
4/8/2012,Sun,NYA,AL,TBA,19:00,Tropicana Field,-82.653453,27.76811,14.0
4/8/2012,Sun,CHA,AL,TEX,19:00,Globe Life Park in Arlington,-97.082997,32.751593,165.0
