date,Time,temp,dwpt,rhum,wdir,wspd,pres,Visitor,Home,Stadium,Elevation
2013-04-01,19:00,60.08,2.7,42.0,300.0,29.5,1007.7,MIA,WAS,Nationals Park,2.0
2013-04-03,19:00,51.98,-11.1,20.0,320.0,18.4,1023.1,MIA,WAS,Nationals Park,2.0
2013-04-04,19:00,48.92,-10.7,23.0,220.0,9.4,1025.0,MIA,WAS,Nationals Park,2.0
2013-04-09,19:00,84.02,11.0,33.0,200.0,5.4,1016.3,CHA,WAS,Nationals Park,2.0
2013-04-10,19:00,89.96000000000001,10.8,27.0,230.0,27.7,1011.8,CHA,WAS,Nationals Park,2.0
2013-04-11,19:00,84.02,14.3,41.0,180.0,13.0,1008.6,CHA,WAS,Nationals Park,2.0
2013-04-12,19:00,73.94,18.4,74.0,170.0,18.4,1002.1,ATL,WAS,Nationals Park,2.0
2013-04-13,19:00,64.94,3.0,36.0,170.0,9.4,1012.0,ATL,WAS,Nationals Park,2.0
2013-04-14,19:00,66.92,2.7,33.0,90.0,5.4,1019.4,ATL,WAS,Nationals Park,2.0
2013-04-22,19:00,55.94,2.2,47.0,70.0,16.6,1032.2,SLN,WAS,Nationals Park,2.0
2013-04-23,19:00,57.92,4.4,51.0,350.0,0.0,1024.3,SLN,WAS,Nationals Park,2.0
2013-04-24,19:00,73.94,12.9,52.0,170.0,24.1,1012.1,SLN,WAS,Nationals Park,2.0
2013-04-25,19:00,62.059999999999995,-1.0,30.0,50.0,13.0,1024.0,CIN,WAS,Nationals Park,2.0
2013-04-26,19:00,66.92,-0.1,27.0,20.0,9.4,1029.3,CIN,WAS,Nationals Park,2.0
2013-04-27,19:00,69.98,3.3,31.0,130.0,7.6,1027.3,CIN,WAS,Nationals Park,2.0
2013-04-28,19:00,66.02,2.7,34.0,180.0,18.4,1024.2,CIN,WAS,Nationals Park,2.0
2013-05-07,19:00,64.04,15.6,87.0,60.0,20.5,1015.0,DET,WAS,Nationals Park,2.0
2013-05-08,19:00,71.96,12.2,53.0,180.0,13.0,1013.9,DET,WAS,Nationals Park,2.0
2013-05-10,19:00,80.96,13.9,44.0,160.0,22.3,1013.8,CHN,WAS,Nationals Park,2.0
2013-05-11,19:00,75.92,15.6,58.0,240.0,13.0,1007.5,CHN,WAS,Nationals Park,2.0
2013-05-12,19:00,64.94,-2.1,25.0,280.0,20.5,1011.8,CHN,WAS,Nationals Park,2.0
2013-05-24,19:00,57.02,3.9,51.0,330.0,33.5,1016.2,PHI,WAS,Nationals Park,2.0
2013-05-25,19:00,66.02,-0.5,27.0,300.0,24.1,1019.6,PHI,WAS,Nationals Park,2.0
2013-05-26,19:00,71.96,0.1,23.0,320.0,24.1,1021.1,PHI,WAS,Nationals Park,2.0
2013-05-27,19:00,71.06,6.0,36.0,170.0,11.2,1023.9,BAL,WAS,Nationals Park,2.0
2013-05-28,19:00,80.06,17.2,56.0,170.0,14.8,1019.8,BAL,WAS,Nationals Park,2.0
2013-06-04,19:00,77.0,6.2,30.0,360.0,11.2,1018.8,NYN,WAS,Nationals Park,2.0
2013-06-05,19:00,78.98,10.7,38.0,190.0,9.4,1019.4,NYN,WAS,Nationals Park,2.0
2013-06-06,19:00,73.94,16.6,66.0,130.0,18.4,1014.3,NYN,WAS,Nationals Park,2.0
2013-06-07,19:00,71.96,20.7,91.0,40.0,20.5,1004.1,MIN,WAS,Nationals Park,2.0
2013-06-08,19:00,80.06,15.1,49.0,230.0,5.4,1014.5,MIN,WAS,Nationals Park,2.0
2013-06-09,19:00,82.04,20.6,65.0,70.0,13.0,1020.4,MIN,WAS,Nationals Park,2.0
2013-06-20,19:00,78.08,13.8,48.0,200.0,13.0,1024.5,COL,WAS,Nationals Park,2.0
2013-06-21,19:00,82.94,12.2,37.0,120.0,7.6,1025.4,COL,WAS,Nationals Park,2.0
2013-06-22,19:00,84.91999999999999,17.9,50.0,180.0,14.8,1023.6,COL,WAS,Nationals Park,2.0
2013-06-23,19:00,80.06,20.5,69.0,210.0,0.0,1020.2,COL,WAS,Nationals Park,2.0
2013-06-25,19:00,91.94,19.4,44.0,220.0,11.2,1014.6,ARI,WAS,Nationals Park,2.0
2013-06-26,19:00,89.06,20.6,52.0,210.0,14.8,1011.2,ARI,WAS,Nationals Park,2.0
2013-06-27,19:00,75.92,21.1,82.0,200.0,20.5,1005.4,ARI,WAS,Nationals Park,2.0
2013-07-01,19:00,82.94,22.3,70.0,190.0,22.3,1013.5,MIL,WAS,Nationals Park,2.0
2013-07-02,19:00,78.08,22.3,82.0,190.0,18.4,1020.1,MIL,WAS,Nationals Park,2.0
2013-07-03,19:00,87.08000000000001,24.0,68.0,180.0,22.3,1022.4,MIL,WAS,Nationals Park,2.0
2013-07-04,19:00,87.08000000000001,22.2,61.0,190.0,20.5,1023.5,MIL,WAS,Nationals Park,2.0
2013-07-05,19:00,89.06,21.6,55.0,200.0,24.1,1022.6,SDN,WAS,Nationals Park,2.0
2013-07-06,19:00,91.03999999999999,22.9,56.0,170.0,24.1,1020.1,SDN,WAS,Nationals Park,2.0
2013-07-07,19:00,89.06,21.6,55.0,220.0,24.1,1016.9,SDN,WAS,Nationals Park,2.0
2013-07-19,19:00,93.02,25.0,60.0,210.0,13.0,1013.3,LAN,WAS,Nationals Park,2.0
2013-07-20,19:00,93.02,20.7,46.0,290.0,18.4,1011.0,LAN,WAS,Nationals Park,2.0
2013-07-21,19:00,91.03999999999999,20.0,47.0,110.0,5.4,1012.9,LAN,WAS,Nationals Park,2.0
2013-07-22,19:00,87.98,22.1,59.0,180.0,14.8,1010.8,PIT,WAS,Nationals Park,2.0
2013-07-23,19:00,86.0,18.8,51.0,280.0,20.5,1005.6,PIT,WAS,Nationals Park,2.0
2013-07-24,19:00,82.94,19.0,57.0,320.0,14.8,1009.4,PIT,WAS,Nationals Park,2.0
2013-07-25,19:00,80.96,13.2,42.0,90.0,5.4,1015.5,PIT,WAS,Nationals Park,2.0
2013-07-26,19:00,80.06,15.1,49.0,170.0,11.2,1017.8,NYN,WAS,Nationals Park,2.0
2013-07-27,19:00,84.91999999999999,18.8,53.0,190.0,20.5,1014.7,NYN,WAS,Nationals Park,2.0
2013-07-28,19:00,82.94,20.6,63.0,140.0,5.4,1012.8,NYN,WAS,Nationals Park,2.0
