Date,Location,Team,Opponent,At Bats,Singles,Doubles,Triples,Home Runs,Total Bases
2013-03-30,Ed Smith Stadium,Baltimore Orioles,New York Mets,36,7,1,0,4,25
2013-03-30,Ed Smith Stadium,New York Mets,Baltimore Orioles,28,1,0,0,0,1
2013-03-30,Citizens Bank Park,Philadelphia Phillies,Toronto Blue Jays,33,5,1,0,1,11
2013-03-30,Citizens Bank Park,Toronto Blue Jays,Philadelphia Phillies,39,8,5,0,1,22
2013-03-30,Tropicana Field,Tampa Bay Rays,Detroit Tigers,36,6,1,0,3,20
2013-03-30,Tropicana Field,Detroit Tigers,Tampa Bay Rays,34,6,0,1,1,13
2013-03-30,JetBlue Park,Boston Red Sox,Minnesota Twins,31,10,0,0,0,10
2013-03-30,JetBlue Park,Minnesota Twins,Boston Red Sox,38,9,2,0,0,13
2013-03-30,Zephyr Field,New Orleans Zephyrs,Miami Marlins,31,3,0,0,0,3
2013-03-30,Zephyr Field,Miami Marlins,New Orleans Zephyrs,36,5,2,0,3,21
2013-03-30,Johnson Stadium at Doubleday Field,Army Black Knights,New York Yankees,33,8,1,0,0,10
2013-03-30,Johnson Stadium at Doubleday Field,New York Yankees,Army Black Knights,44,12,2,0,2,24
2013-03-30,Minute Maid Park,Houston Astros,Chicago Cubs,32,8,2,1,0,15
2013-03-30,Minute Maid Park,Chicago Cubs,Houston Astros,34,7,1,0,0,9
2013-03-30,Alamodome,Texas Rangers,San Diego Padres,26,2,0,0,1,6
2013-03-30,Alamodome,San Diego Padres,Texas Rangers,33,4,1,0,2,14
2013-03-30,Peoples Natural Gas Field,Altoona Curve,Pittsburgh Pirates,29,8,1,0,0,10
2013-03-30,Peoples Natural Gas Field,Pittsburgh Pirates,Altoona Curve,41,9,3,1,1,22
2013-03-30,Miller Park,Milwaukee Brewers,Chicago White Sox,35,8,3,0,1,18
2013-03-30,Miller Park,Chicago White Sox,Milwaukee Brewers,34,4,4,0,1,16
2013-03-30,Goodyear Ballpark,Cleveland Indians,Cincinnati Reds,38,8,3,1,2,25
2013-03-30,Goodyear Ballpark,Cincinnati Reds,Cleveland Indians,32,7,1,0,0,9
2013-03-30,Spring Mobile Ballpark,Colorado Rockies,Seattle Mariners,33,4,1,0,2,14
2013-03-30,Spring Mobile Ballpark,Seattle Mariners,Colorado Rockies,33,2,2,1,2,17
2013-03-30,Trustmark Park,Atlanta Braves,Mississippi Braves,34,7,2,0,3,23
2013-03-30,Trustmark Park,Mississippi Braves,Atlanta Braves,32,3,2,0,0,7
2013-03-30,Chase Field,Arizona Diamondbacks,Cincinnati Reds,30,5,0,0,0,5
2013-03-30,Chase Field,Cincinnati Reds,Arizona Diamondbacks,39,10,6,0,0,22
2013-03-30,O.co Coliseum,Oakland Athletics,San Francisco Giants,30,5,0,0,1,9
2013-03-30,O.co Coliseum,San Francisco Giants,Oakland Athletics,36,7,0,1,1,14
2013-03-30,Angel Stadium of Anaheim,Los Angeles Angels,Los Angeles Dodgers,30,3,1,0,1,9
2013-03-30,Angel Stadium of Anaheim,Los Angeles Dodgers,Los Angeles Angels,31,5,0,0,0,5
2013-03-31,Minute Maid Park,Houston Astros,Texas Rangers,32,6,0,2,1,16
2013-03-31,Minute Maid Park,Texas Rangers,Houston Astros,32,6,0,0,0,6
2013-04-01,Nationals Park,Washington Nationals,Miami Marlins,26,3,0,0,2,11
2013-04-01,Nationals Park,Miami Marlins,Washington Nationals,29,2,1,0,0,4
2013-04-01,Yankee Stadium,New York Yankees,Boston Red Sox,33,5,1,0,0,7
2013-04-01,Yankee Stadium,Boston Red Sox,New York Yankees,40,11,1,1,0,16
2013-04-01,Citi Field,New York Mets,San Diego Padres,38,10,2,0,1,18
2013-04-01,Citi Field,San Diego Padres,New York Mets,31,2,1,0,1,8
2013-04-01,PNC Park,Pittsburgh Pirates,Chicago Cubs,31,2,1,0,0,4
2013-04-01,PNC Park,Chicago Cubs,Pittsburgh Pirates,33,3,2,0,1,11
2013-04-01,Miller Park,Milwaukee Brewers,Colorado Rockies,34,6,1,0,1,12
2013-04-01,Miller Park,Colorado Rockies,Milwaukee Brewers,40,9,0,0,3,21
2013-04-01,Great American Ball Park,Cincinnati Reds,Los Angeles Angels,42,2,1,0,0,4
2013-04-01,Great American Ball Park,Los Angeles Angels,Cincinnati Reds,45,4,0,1,1,11
2013-04-01,Dodger Stadium,Los Angeles Dodgers,San Francisco Giants,30,4,2,0,1,12
2013-04-01,Dodger Stadium,San Francisco Giants,Los Angeles Dodgers,30,4,0,0,0,4
2013-04-01,Target Field,Minnesota Twins,Detroit Tigers,35,5,3,0,0,11
2013-04-01,Target Field,Detroit Tigers,Minnesota Twins,35,7,2,0,0,11
2013-04-01,U.S. Cellular Field,Chicago White Sox,Kansas City Royals,32,7,0,0,1,11
2013-04-01,U.S. Cellular Field,Kansas City Royals,Chicago White Sox,32,7,0,0,0,7
2013-04-01,Turner Field,Atlanta Braves,Philadelphia Phillies,33,4,3,0,3,22
2013-04-01,Turner Field,Philadelphia Phillies,Atlanta Braves,36,7,1,1,1,16
2013-04-01,O.co Coliseum,Oakland Athletics,Seattle Mariners,30,1,2,0,0,5
