Date,Location,Team,Opponent,Singles,Doubles,Triples,Home Runs,Total Bases
2023-03-30,Nationals Park,Washington Nationals,Atlanta Braves,7,1,0,0,9
2023-03-30,Nationals Park,Atlanta Braves,Washington Nationals,10,2,0,0,14
2023-03-30,Yankee Stadium,New York Yankees,San Francisco Giants,6,0,0,2,14
2023-03-30,Yankee Stadium,San Francisco Giants,New York Yankees,4,0,0,0,4
2023-03-30,Fenway Park,Boston Red Sox,Baltimore Orioles,8,2,1,0,15
2023-03-30,Fenway Park,Baltimore Orioles,Boston Red Sox,9,4,0,2,25
2023-03-30,Wrigley Field,Chicago Cubs,Milwaukee Brewers,6,0,0,0,6
2023-03-30,Wrigley Field,Milwaukee Brewers,Chicago Cubs,4,0,0,0,4
2023-03-30,Tropicana Field,Tampa Bay Rays,Detroit Tigers,4,0,0,2,12
2023-03-30,Tropicana Field,Detroit Tigers,Tampa Bay Rays,4,2,0,0,8
2023-03-30,Globe Life Field,Texas Rangers,Philadelphia Phillies,7,1,0,2,17
2023-03-30,Globe Life Field,Philadelphia Phillies,Texas Rangers,4,4,3,1,25
2023-03-30,Great American Ball Park,Cincinnati Reds,Pittsburgh Pirates,4,1,1,1,13
2023-03-30,Great American Ball Park,Pittsburgh Pirates,Cincinnati Reds,4,1,0,1,10
2023-03-30,Busch Stadium,St. Louis Cardinals,Toronto Blue Jays,11,2,0,2,23
2023-03-30,Busch Stadium,Toronto Blue Jays,St. Louis Cardinals,16,3,0,0,22
2023-03-30,Kauffman Stadium,Kansas City Royals,Minnesota Twins,1,1,0,0,3
2023-03-30,Kauffman Stadium,Minnesota Twins,Kansas City Royals,10,0,1,0,13
2023-03-30,loanDepot park,Miami Marlins,New York Mets,1,3,0,1,11
2023-03-30,loanDepot park,New York Mets,Miami Marlins,7,1,0,0,9
2023-03-30,Minute Maid Park,Houston Astros,Chicago White Sox,3,0,0,1,7
2023-03-30,Minute Maid Park,Chicago White Sox,Houston Astros,8,2,0,1,16
2023-03-30,Petco Park,San Diego Padres,Colorado Rockies,4,3,0,0,10
2023-03-30,Petco Park,Colorado Rockies,San Diego Padres,10,4,0,3,30
2023-03-30,Oakland Coliseum,Oakland Athletics,Los Angeles Angels,4,2,0,0,8
2023-03-30,Oakland Coliseum,Los Angeles Angels,Oakland Athletics,5,0,0,0,5
2023-03-30,Dodger Stadium,Los Angeles Dodgers,Arizona Diamondbacks,9,2,0,1,17
2023-03-30,Dodger Stadium,Arizona Diamondbacks,Los Angeles Dodgers,3,1,0,0,5
2023-03-30,T-Mobile Park,Seattle Mariners,Cleveland Guardians,4,2,0,1,12
2023-03-30,T-Mobile Park,Cleveland Guardians,Seattle Mariners,3,1,0,0,5
2023-03-31,loanDepot park,Miami Marlins,New York Mets,7,0,1,2,18
2023-03-31,loanDepot park,New York Mets,Miami Marlins,2,1,0,1,8
2023-03-31,Minute Maid Park,Houston Astros,Chicago White Sox,5,1,0,1,11
2023-03-31,Minute Maid Park,Chicago White Sox,Houston Astros,7,4,0,0,15
2023-03-31,Petco Park,San Diego Padres,Colorado Rockies,3,2,0,0,7
2023-03-31,Petco Park,Colorado Rockies,San Diego Padres,8,0,0,1,12
2023-03-31,Dodger Stadium,Los Angeles Dodgers,Arizona Diamondbacks,3,1,0,1,9
2023-03-31,Dodger Stadium,Arizona Diamondbacks,Los Angeles Dodgers,4,2,0,1,12
2023-03-31,T-Mobile Park,Seattle Mariners,Cleveland Guardians,3,4,0,0,11
2023-03-31,T-Mobile Park,Cleveland Guardians,Seattle Mariners,11,2,0,0,15
2023-04-01,Minute Maid Park,Houston Astros,Chicago White Sox,10,1,0,0,12
2023-04-01,Minute Maid Park,Chicago White Sox,Houston Astros,8,0,0,2,16
2023-04-01,Busch Stadium,St. Louis Cardinals,Toronto Blue Jays,10,0,0,0,10
2023-04-01,Busch Stadium,Toronto Blue Jays,St. Louis Cardinals,3,0,0,0,3
2023-04-01,Wrigley Field,Chicago Cubs,Milwaukee Brewers,3,1,0,1,9
2023-04-01,Wrigley Field,Milwaukee Brewers,Chicago Cubs,5,1,0,0,7
2023-04-01,Globe Life Field,Texas Rangers,Philadelphia Phillies,12,2,0,3,28
2023-04-01,Globe Life Field,Philadelphia Phillies,Texas Rangers,4,4,1,0,15
2023-04-01,Nationals Park,Washington Nationals,Atlanta Braves,3,1,0,1,9
2023-04-01,Nationals Park,Atlanta Braves,Washington Nationals,7,0,0,4,23
2023-04-01,Yankee Stadium,New York Yankees,San Francisco Giants,6,2,0,2,18
2023-04-01,Yankee Stadium,San Francisco Giants,New York Yankees,7,3,0,2,21
2023-04-01,Oakland Coliseum,Oakland Athletics,Los Angeles Angels,4,0,0,1,8
2023-04-01,Oakland Coliseum,Los Angeles Angels,Oakland Athletics,8,2,0,1,16
2023-04-01,Fenway Park,Boston Red Sox,Baltimore Orioles,3,3,1,4,28
2023-04-01,Fenway Park,Baltimore Orioles,Boston Red Sox,7,3,0,3,25
2023-04-01,Great American Ball Park,Cincinnati Reds,Pittsburgh Pirates,2,1,0,3,16
2023-04-01,Great American Ball Park,Pittsburgh Pirates,Cincinnati Reds,6,1,0,0,8
2023-04-01,Tropicana Field,Tampa Bay Rays,Detroit Tigers,5,7,0,1,23
2023-04-01,Tropicana Field,Detroit Tigers,Tampa Bay Rays,4,2,0,0,8
2023-04-01,Kauffman Stadium,Kansas City Royals,Minnesota Twins,3,1,0,0,5
2023-04-01,Kauffman Stadium,Minnesota Twins,Kansas City Royals,4,1,0,0,6
2023-04-01,loanDepot park,Miami Marlins,New York Mets,7,2,0,1,15
2023-04-01,loanDepot park,New York Mets,Miami Marlins,6,5,0,1,20
2023-04-01,Petco Park,San Diego Padres,Colorado Rockies,6,3,0,1,16
2023-04-01,Petco Park,Colorado Rockies,San Diego Padres,1,4,0,1,13
2023-04-01,Dodger Stadium,Los Angeles Dodgers,Arizona Diamondbacks,2,2,0,4,22
2023-04-01,Dodger Stadium,Arizona Diamondbacks,Los Angeles Dodgers,2,2,0,1,10
2023-04-01,T-Mobile Park,Seattle Mariners,Cleveland Guardians,2,1,0,0,4
2023-04-01,T-Mobile Park,Cleveland Guardians,Seattle Mariners,3,0,0,2,11
2023-04-02,Tropicana Field,Tampa Bay Rays,Detroit Tigers,5,2,0,1,13
2023-04-02,Tropicana Field,Detroit Tigers,Tampa Bay Rays,1,0,0,1,5
2023-04-02,Fenway Park,Boston Red Sox,Baltimore Orioles,11,2,0,1,19
2023-04-02,Fenway Park,Baltimore Orioles,Boston Red Sox,6,2,0,2,18
2023-04-02,Nationals Park,Washington Nationals,Atlanta Braves,5,1,0,0,7
2023-04-02,Nationals Park,Atlanta Braves,Washington Nationals,3,1,0,0,5
